Creation Date,Status,Service Request Number,License Plate,Vehicle Make/Model,Vehicle Color,Ward
01/17/2020,Completed,20-00007118,UNKNOWN,,Silver,17.0
03/07/2020,Completed,20-00025538,UNKNOWN,Toyota,Black,10.0
01/11/2020,Completed,20-00004446,UNKNOWN,Dodge,Green,18.0
03/10/2020,Completed,20-00026647,UNKNOWN,Honda,Silver,18.0
03/22/2020,Completed,20-00030342,UNKNOWN,Jeep,Unknown,41.0
03/06/2020,Completed,20-00025220,UNKNOWN,,Multi-Color,24.0
01/17/2020,Completed,20-00007095,UNKNOWN,,White,34.0
01/09/2020,Completed,20-00003961,UNKNOWN,Honda,Silver,47.0
02/19/2020,Completed,20-00018810,UNKNOWN,Chevrolet,Brown,13.0
03/25/2020,Completed,20-00030781,UNKNOWN,Honda,Gold,38.0
02/13/2020,Completed,20-00016710,UNKNOWN,Chrysler,Gray,7.0
02/10/2020,Completed,20-00015323,UNKNOWN,Chrysler,Gray,37.0
01/08/2020,Completed,20-00003487,UNKNOWN,,Green,34.0
03/09/2020,Completed,20-00025678,UNKNOWN,Pontiac,Red,1.0
02/10/2020,Completed,20-00015206,UNKNOWN,Chevrolet,Black,34.0
01/04/2020,Completed,20-00001463,UNKNOWN,,Red,20.0
02/06/2020,Completed,20-00014607,UNKNOWN,,Unknown,24.0
01/21/2020,Completed,20-00008066,UNKNOWN,Ford,Purple,50.0
03/05/2020,Completed,20-00025050,UNKNOWN,Dodge,Red,38.0
01/13/2020,Completed,20-00004711,UNKNOWN,Lexus,Burgundy,7.0
01/27/2020,Completed,20-00009748,UNKNOWN,Chevrolet,Black,3.0
01/08/2020,Completed,20-00003488,UNKNOWN,,Beige,34.0
01/13/2020,Completed,20-00004559,UNKNOWN,Chevrolet,Red,14.0
02/24/2020,Completed,20-00020161,UNKNOWN,Dodge,White,12.0
01/03/2020,Completed,20-00001125,UNKNOWN,Ford,Gray,22.0
03/21/2020,Completed,20-00030338,UNKNOWN,"U-Haul Co, Division Parkhurst Manufacturing Co.",Orange,3.0
01/07/2020,Completed,20-00002763,UNKNOWN,Chevrolet,White,34.0
02/19/2020,Completed,20-00018631,UNKNOWN,,Black,21.0
03/09/2020,Completed,20-00026181,UNKNOWN,Abarth,Unknown,24.0
03/07/2020,Completed,20-00025585,UNKNOWN,Audi,Black,20.0
03/16/2020,Completed,20-00028382,UNKNOWN,Chevrolet,Gray,16.0
01/07/2020,Completed,20-00002791,UNKNOWN,Honda,White,28.0
03/06/2020,Completed,20-00025403,UNKNOWN,Nissan,Silver,21.0
03/18/2020,Completed,20-00029902,UNKNOWN,Ford,Burgundy,22.0
02/10/2020,Completed,20-00015804,UNKNOWN,Trailer,White,33.0
01/16/2020,Completed,20-00006426,UNKNOWN,Chevrolet,Gray,27.0
02/09/2020,Completed,20-00015141,UNKNOWN,Acura,Gray,38.0
02/27/2020,Completed,20-00021953,UNKNOWN,Chevrolet,White,17.0
03/10/2020,Completed,20-00026826,UNKNOWN,Ford,Red,1.0
03/24/2020,Completed,20-00030650,UNKNOWN,,Gray,14.0
01/03/2020,Completed,20-00001124,UNKNOWN,Honda,Tan,22.0
02/12/2020,Completed,20-00016501,UNKNOWN,,White,17.0
02/25/2020,Completed,20-00021436,UNKNOWN,,Gray,10.0
01/21/2020,Completed,20-00007418,UNKNOWN,Vehicle Part,Black,4.0
01/16/2020,Completed,20-00006708,UNKNOWN,Hyundai,White,42.0
03/09/2020,Completed,20-00026008,UNKNOWN,Nissan,Gray,7.0
01/02/2020,Completed,20-00000394,UNKNOWN,Mercedes,White,46.0
02/19/2020,Completed,20-00018812,UNKNOWN,Honda,White,17.0
03/25/2020,Completed,20-00030820,UNKNOWN,Honda,Gray,27.0
03/31/2020,Completed,20-00031433,UNKNOWN,Dodge,Maroon,28.0
01/14/2020,Completed,20-00004996,UNKNOWN,Construction Equipment,Unknown,20.0
03/22/2020,Completed,20-00030356,UNKNOWN,Chevrolet,Gray,37.0
03/12/2020,Completed,20-00027500,UNKNOWN,Chevrolet,Tan,19.0
02/26/2020,Completed,20-00021746,UNKNOWN,,White,18.0
02/24/2020,Completed,20-00020160,UNKNOWN,Saturn,Maroon,12.0
03/04/2020,Completed,20-00024592,UNKNOWN,,Yellow,6.0
